exp_id,experiment_name,CB,DCB,TOL,annealing_temperature,E 00,E 01,E 02,00/01,Relative Anion Signal,Bleaching %,polaron ratio,Carrier Concentration,Mobility,Sheet Resistance,conductivity,thickness
6608a1f6dc56149493159c9b,Spring24_SolvTemp_JPM_50,10,0,90,150,2.07223,2.26119,2.43345,0.8035,1.3761,0.45051,0.83895,2.43E+020,0.5747,6847.666667,22.35,6.53E-06
6608a2b5dc56149493290a1e,Spring24_SolvTemp_JPM_51,50,50,0,30,2.086,2.26878,2.41655,0.73558,1.45745,0.51184,0.95053,2.89E+020,0.1125,42443.33333,5.2,4.53E-06
6608a4f8a6bd9adf4bc1e6b1,Spring24_SolvTemp_JPM_52,50,50,0,90,2.07353,2.25395,2.43876,0.77433,1.3594,0.49939,0.84202,2.8E+020,0.28907,11466.66667,12.93,6.74E-06
6608a6185003d647418bbcd2,Spring24_SolvTemp_JPM_53,50,50,0,120,2.0724,2.25847,2.44407,0.77457,1.45641,0.51472,0.89317,2.92E+020,0.32847,8640,15.34,7.54E-06
6608a78c54a36d6df3b3fdf0,Spring24_SolvTemp_JPM_54,10,0,90,180,2.07549,2.25331,2.43453,0.79061,1.26343,0.48868,0.89682,2.72E+020,0.32796,11243.33333,14.25,6.24E-06
6608a892a6bd9adf4b31acb9,Spring24_SolvTemp_JPM_55,70,30,0,90,2.07601,2.25397,2.4216,0.78306,1.41802,0.47169,0.88776,2.57E+020,0.47992,11133.33333,19.76,4.55E-06
6608aefc82f78f6f26ba8e55,Spring24_SolvTemp_JPM_56,30,0,70,240,2.08281,2.26492,2.44817,0.68679,1.07673,0.3397,0.58931,1.7E+020,0.54489,13950,14.84,4.83E-06
6608b05754a36d6df3c00d43,Spring24_SolvTemp_JPM_57,60,40,0,90,2.07601,2.25397,2.39972,0.78571,1.29858,0.47632,0.81195,2.63E+020,0.40032,9986.666667,16.86,5.94E-06
6608b516a6bd9adf4ba28b92,Spring24_SolvTemp_JPM_58,0,0,100,120,2.07237,2.25841,2.44051,0.81639,1.47805,0.54823,0.85724,3.26E+020,0.56786,5254.666667,29.58,6.43E-06
6608b6358342d8f856c1a519,Spring24_SolvTemp_JPM_59,30,0,70,270,2.0878,2.2709,2.46224,0.6245,1.03992,0.26534,0.58657,1.25E+020,0.83882,19533.33333,16.8,3.05E-06
6608b8de54a36d6df3b631dd,Spring24_SolvTemp_JPM_60,0,20,80,210,2.06936,2.26071,2.43632,0.74657,1.05866,0.3664,0.64775,2.46E+020,0.27059,17426.66667,10.67,5.38E-06
6608ba0aa6bd9adf4b38353e,Spring24_SolvTemp_JPM_61,0,10,90,150,2.0722,2.26116,2.44029,0.83129,1.43032,0.49634,0.8849,2.76E+020,0.97347,4569.666667,43.02,5.09E-06
6608be885003d64741607537,Spring24_SolvTemp_JPM_62,50,50,0,60,2.07602,2.25104,2.41261,0.74754,1.36647,0.46117,0.87519,2.49E+020,0.14632,26303.33333,5.82,6.53E-06
6608bfc65003d647418dcfe8,Spring24_SolvTemp_JPM_63,30,70,0,60,2.07358,2.25107,2.40642,0.74045,1.38587,0.48654,0.85608,2.69E+020,0.58391,11036.33333,25.17,3.6E-06
6608c1388342d8f85616c645,Spring24_SolvTemp_JPM_64,70,30,0,120,2.07233,2.26133,2.42329,0.7752,1.48663,0.47467,0.9209,2.58E+020,0.47536,8256.333333,19.64,6.17E-06
6608c23e81d775fd8470aeca,Spring24_SolvTemp_JPM_65,0,20,80,150,2.06806,2.25623,2.42424,0.78856,1.3219,0.50545,0.81651,2.91E+020,0.51899,7116,24.2,5.81E-06
6608c35e5003d64741f370b6,Spring24_SolvTemp_JPM_66,0,100,0,210,2.08106,2.26586,2.43198,0.70819,1.0784,0.51341,0.73475,1.81E+020,0.34228,25023.33333,9.91,4.03E-06
6608c453dc5614949316285c,Spring24_SolvTemp_JPM_67,0,100,0,90,2.08356,2.26585,2.41829,0.66428,0.90291,0.40877,0.6358,1.93E+020,0.40686,14796.66667,12.59,5.37E-06
6608c5c0a6bd9adf4b90927e,Spring24_SolvTemp_JPM_68,0,90,10,210,2.0892,2.26662,2.41355,0.76571,1.1387,0.41939,0.66517,1.81E+020,0.32427,26896.66667,9.4,3.95E-06
